Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
TOTAL ZUMO/NECTAR ECO;;3.284;5.608;2.321;6.754;3.851;4.585;2.146;3.106;0.854;1.137;3.019;3.766;1.908;4.379;3.249;1.638;1.989;2.776;1.0;VALOR
PATATAS FRESCAS ECO.;;16.15;17.482;16.624;13.535;17.49;18.139;20.069;15.519;12.424;11.716;13.695;17.5;18.006;13.16;19.749;10.182;9.52;8.035;1.0;VALOR
T.HORTALIZAS FRE.ECO.;;63.912;68.959;68.907;65.734;59.276;62.314;67.379;62.9;64.375;65.875;59.648;62.891;67.059;57.963;72.642;51.859;74.187;42.064;1.0;VALOR
T.FRUTAS FRESCAS ECO.;;61.863;64.236;71.825;55.932;60.369;54.747;60.512;65.715;62.44;61.085;64.566;63.333;68.992;68.24;67.512;62.582;62.36;37.716;1.0;VALOR
FRUTOS SECOS ECO.;;18.313;22.42;15.288;21.962;14.83;16.783;17.024;18.608;10.842;17.876;13.407;23.959;26.041;23.832;26.471;12.636;18.522;16.422;1.0;VALOR
T.FRUTA&HORTA.TR.ECO.;;16.228;19.916;15.882;17.125;13.4;12.659;12.882;17.598;15.843;8.961;12.021;20.701;21.766;19.882;23.33;16.964;26.305;14.18;1.0;VALOR
PLATOS PREPARADOS ECO;;9.123;10.724;11.831;10.705;9.776;6.575;7.466;10.412;4.217;7.304;7.945;4.601;6.302;3.49;16.323;10.684;14.534;10.022;1.0;VALOR
CAFES/INFUSIONES ECO.;;15.836;20.929;14.054;14.535;14.986;11.122;11.252;16.86;12.083;11.592;13.615;19.599;19.569;17.322;22.127;30.645;14.261;14.859;1.0;VALOR
HARINAS Y SEMOLAS ECO;;8.437;10.869;11.461;14.704;5.878;8.496;5.801;7.596;8.485;6.825;7.725;7.877;10.606;5.644;12.188;4.554;8.832;15.534;1.0;VALOR
BEBIDAS VEGETALES ECO;;9.045;14.442;7.673;12.986;8.752;7.765;6.004;9.175;5.936;6.791;5.709;8.979;7.17;3.504;9.375;3.26;16.995;11.505;1.0;VALOR
